,iso2,year,age,cases,sex
44481,PF,1998,0-14,3,f
44482,PF,1999,0-14,4,f
44483,PF,2000,0-14,1,f
44484,PF,2001,0-14,3,f
44485,PF,2002,0-14,0,f
44488,PF,2005,0-14,0,f
44489,PF,2006,0-14,1,f
44490,PF,2007,0-14,1,f
44491,PF,2008,0-14,0,f
44508,PG,1996,0-14,11,f
44509,PG,1997,0-14,1,f
44510,PG,1998,0-14,11,f
44511,PG,1999,0-14,0,f
44512,PG,2000,0-14,6,f
44513,PG,2001,0-14,7,f
44514,PG,2002,0-14,22,f
44515,PG,2003,0-14,28,f
44516,PG,2004,0-14,30,f
44517,PG,2005,0-14,38,f
44518,PG,2006,0-14,41,f
44519,PG,2007,0-14,32,f
44520,PG,2008,0-14,71,f
44536,PH,1995,0-14,1,f
44537,PH,1996,0-14,1,f
44538,PH,1997,0-14,6,f
44539,PH,1998,0-14,4,f
44544,PH,2003,0-14,300,f
44545,PH,2004,0-14,291,f
44546,PH,2005,0-14,374,f
44547,PH,2006,0-14,379,f
44548,PH,2007,0-14,380,f
44549,PH,2008,0-14,341,f
44564,PK,1995,0-14,85,f
44567,PK,1998,0-14,159,f
44568,PK,1999,0-14,33,f
44569,PK,2000,0-14,130,f
44570,PK,2001,0-14,241,f
44571,PK,2002,0-14,512,f
44572,PK,2003,0-14,622,f
44573,PK,2004,0-14,950,f
44574,PK,2005,0-14,1447,f
44575,PK,2006,0-14,1941,f
44576,PK,2007,0-14,2443,f
44577,PK,2008,0-14,2696,f
44593,PL,1995,0-14,4,f
44594,PL,1996,0-14,9,f
44595,PL,1997,0-14,7,f
44596,PL,1998,0-14,5,f
44597,PL,1999,0-14,10,f
44598,PL,2000,0-14,1,f
44599,PL,2001,0-14,4,f
44600,PL,2002,0-14,7,f
44601,PL,2003,0-14,3,f
44602,PL,2004,0-14,2,f
44603,PL,2005,0-14,3,f
44604,PL,2006,0-14,1,f
44605,PL,2007,0-14,4,f
44606,PL,2008,0-14,3,f
44621,PR,1995,0-14,1,f
44622,PR,1996,0-14,0,f
44623,PR,1997,0-14,0,f
44624,PR,1998,0-14,1,f
44625,PR,1999,0-14,1,f
44626,PR,2000,0-14,1,f
44627,PR,2001,0-14,0,f
44628,PR,2002,0-14,0,f
44629,PR,2003,0-14,0,f
44630,PR,2004,0-14,0,f
44631,PR,2005,0-14,0,f
44632,PR,2006,0-14,1,f
44633,PR,2007,0-14,0,f
44634,PR,2008,0-14,0,f
44648,PS,1995,0-14,0,f
44649,PS,1996,0-14,1,f
44654,PS,2003,0-14,0,f
44657,PS,2006,0-14,0,f
44658,PS,2007,0-14,0,f
44659,PS,2008,0-14,0,f
44675,PT,1995,0-14,7,f
44676,PT,1996,0-14,6,f
44677,PT,1997,0-14,4,f
44678,PT,1998,0-14,5,f
44679,PT,1999,0-14,9,f
44680,PT,2000,0-14,5,f
44681,PT,2001,0-14,13,f
44682,PT,2002,0-14,5,f
44683,PT,2003,0-14,7,f
44684,PT,2004,0-14,3,f
44685,PT,2005,0-14,7,f
44686,PT,2006,0-14,4,f
44687,PT,2007,0-14,2,f
44688,PT,2008,0-14,3,f
44703,PW,1995,0-14,0,f
44705,PW,1997,0-14,0,f
44707,PW,1999,0-14,0,f
44709,PW,2002,0-14,0,f
44710,PW,2003,0-14,1,f
44713,PW,2006,0-14,0,f
44714,PW,2007,0-14,0,f
44731,PY,1995,0-14,13,f
44732,PY,1996,0-14,16,f
44733,PY,1997,0-14,27,f
44734,PY,1998,0-14,17,f
44735,PY,1999,0-14,22,f
44736,PY,2000,0-14,12,f
44737,PY,2001,0-14,22,f
44738,PY,2002,0-14,12,f
44739,PY,2003,0-14,28,f
44740,PY,2004,0-14,21,f
44741,PY,2005,0-14,31,f
44742,PY,2006,0-14,16,f
44743,PY,2007,0-14,15,f
44744,PY,2008,0-14,10,f
44759,QA,1995,0-14,1,f
44760,QA,1996,0-14,0,f
44761,QA,1997,0-14,0,f
44762,QA,1998,0-14,1,f
44763,QA,1999,0-14,0,f
44764,QA,2000,0-14,0,f
44765,QA,2001,0-14,0,f
44767,QA,2003,0-14,0,f
44768,QA,2004,0-14,0,f
44770,QA,2006,0-14,0,f
44771,QA,2007,0-14,1,f
44772,QA,2008,0-14,0,f
44788,RO,1995,0-14,355,f
44789,RO,1996,0-14,48,f
44790,RO,1997,0-14,53,f
44791,RO,1998,0-14,43,f
44792,RO,1999,0-14,48,f
44793,RO,2000,0-14,53,f
44794,RO,2001,0-14,70,f
44795,RO,2002,0-14,74,f
44796,RO,2003,0-14,58,f
44797,RO,2004,0-14,59,f
44798,RO,2005,0-14,55,f
44799,RO,2006,0-14,37,f
44800,RO,2007,0-14,34,f
44801,RO,2008,0-14,37,f
44802,RS,2005,0-14,6,f
44803,RS,2006,0-14,7,f
44804,RS,2007,0-14,2,f
44805,RS,2008,0-14,3,f
44822,RU,1996,0-14,0,f
44823,RU,1997,0-14,0,f
44824,RU,1998,0-14,2,f
44825,RU,1999,0-14,33,f
44826,RU,2000,0-14,1,f
44827,RU,2001,0-14,37,f
44828,RU,2002,0-14,0,f
44829,RU,2003,0-14,0,f
44830,RU,2004,0-14,45,f
44832,RU,2006,0-14,40,f
44833,RU,2007,0-14,40,f
44834,RU,2008,0-14,33,f
44847,RW,1996,0-14,45,f
44848,RW,1997,0-14,78,f
44850,RW,1999,0-14,59,f
44851,RW,2000,0-14,105,f
44853,RW,2002,0-14,15,f
44854,RW,2003,0-14,36,f
44855,RW,2004,0-14,73,f
44856,RW,2005,0-14,73,f
44857,RW,2006,0-14,80,f
44858,RW,2007,0-14,81,f
44859,RW,2008,0-14,65,f
44877,SA,1998,0-14,16,f
44878,SA,1999,0-14,39,f
44879,SA,2000,0-14,28,f
44880,SA,2001,0-14,28,f
44881,SA,2002,0-14,28,f
44882,SA,2003,0-14,18,f
44883,SA,2004,0-14,24,f
44884,SA,2005,0-14,31,f
44885,SA,2006,0-14,39,f
44886,SA,2007,0-14,30,f
44887,SA,2008,0-14,33,f
44903,SB,1995,0-14,3,f
44904,SB,1996,0-14,5,f
44905,SB,1997,0-14,3,f
44906,SB,1998,0-14,2,f
44908,SB,2000,0-14,8,f
44910,SB,2002,0-14,0,f
44911,SB,2003,0-14,9,f
44912,SB,2004,0-14,10,f
44913,SB,2005,0-14,9,f
44914,SB,2006,0-14,4,f
44915,SB,2007,0-14,5,f
44916,SB,2008,0-14,4,f
44930,SC,1995,0-14,0,f
44931,SC,1996,0-14,0,f
44932,SC,1997,0-14,0,f
44933,SC,1998,0-14,0,f
44936,SC,2001,0-14,0,f
44937,SC,2002,0-14,0,f
44938,SC,2003,0-14,0,f
44939,SC,2004,0-14,0,f
44940,SC,2005,0-14,0,f
44943,SC,2008,0-14,0,f
44956,SD,1995,0-14,359,f
44959,SD,1998,0-14,680,f
44960,SD,1999,0-14,903,f
44961,SD,2000,0-14,817,f
44962,SD,2001,0-14,590,f
44963,SD,2002,0-14,498,f
44964,SD,2003,0-14,443,f
44965,SD,2004,0-14,426,f
44966,SD,2005,0-14,381,f
44967,SD,2006,0-14,312,f
44968,SD,2007,0-14,334,f
44969,SD,2008,0-14,321,f
44985,SE,1995,0-14,0,f
44986,SE,1996,0-14,1,f
44987,SE,1997,0-14,2,f
44988,SE,1998,0-14,1,f
44989,SE,1999,0-14,1,f
44990,SE,2000,0-14,1,f
44991,SE,2001,0-14,1,f
44992,SE,2002,0-14,0,f
44993,SE,2003,0-14,0,f
44994,SE,2004,0-14,0,f
44995,SE,2005,0-14,1,f
44996,SE,2006,0-14,1,f
44997,SE,2007,0-14,1,f
44998,SE,2008,0-14,0,f
45014,SG,1995,0-14,1,f
45016,SG,1997,0-14,0,f
45017,SG,1998,0-14,2,f
45018,SG,1999,0-14,0,f
45019,SG,2000,0-14,1,f
45020,SG,2001,0-14,1,f
45021,SG,2002,0-14,2,f
45022,SG,2003,0-14,0,f
45023,SG,2004,0-14,0,f
45024,SG,2005,0-14,0,f
45025,SG,2006,0-14,0,f
45026,SG,2007,0-14,1,f
45027,SG,2008,0-14,0,f
45043,SI,1995,0-14,0,f
45044,SI,1996,0-14,0,f
45045,SI,1997,0-14,0,f
45046,SI,1998,0-14,0,f
45047,SI,1999,0-14,0,f
45048,SI,2000,0-14,0,f
45049,SI,2001,0-14,0,f
45050,SI,2002,0-14,0,f
45051,SI,2003,0-14,0,f
45052,SI,2004,0-14,0,f
45053,SI,2005,0-14,0,f
45054,SI,2006,0-14,0,f
45055,SI,2007,0-14,0,f
45056,SI,2008,0-14,0,f
45072,SK,1995,0-14,5,f
45073,SK,1996,0-14,4,f
45074,SK,1997,0-14,0,f
45075,SK,1998,0-14,0,f
45076,SK,1999,0-14,0,f
45077,SK,2000,0-14,0,f
45078,SK,2001,0-14,1,f
45079,SK,2002,0-14,0,f
45080,SK,2003,0-14,1,f
45081,SK,2004,0-14,1,f
45082,SK,2005,0-14,0,f
45083,SK,2006,0-14,0,f
45084,SK,2007,0-14,1,f
45085,SK,2008,0-14,1,f
45100,SL,1995,0-14,18,f
45101,SL,1996,0-14,35,f
45102,SL,1997,0-14,21,f
45103,SL,1998,0-14,36,f
45105,SL,2000,0-14,27,f
45106,SL,2001,0-14,36,f
45107,SL,2002,0-14,31,f
45108,SL,2003,0-14,26,f
45109,SL,2004,0-14,40,f
45110,SL,2005,0-14,54,f
45111,SL,2006,0-14,68,f
45112,SL,2007,0-14,74,f
45120,SM,1997,0-14,0,f
45126,SM,2003,0-14,0,f
45127,SM,2004,0-14,0,f
45145,SN,1995,0-14,84,f
45146,SN,1996,0-14,89,f
45147,SN,1997,0-14,75,f
45148,SN,1998,0-14,84,f
45149,SN,1999,0-14,58,f
45150,SN,2000,0-14,77,f
45151,SN,2001,0-14,90,f
45152,SN,2002,0-14,61,f
45153,SN,2003,0-14,77,f
45154,SN,2004,0-14,73,f
45155,SN,2005,0-14,83,f
45156,SN,2006,0-14,74,f
45157,SN,2007,0-14,73,f
45158,SN,2008,0-14,79,f
45167,SO,1995,0-14,38,f
45168,SO,1996,0-14,49,f
45169,SO,1997,0-14,63,f
45170,SO,1998,0-14,77,f
45171,SO,1999,0-14,131,f
45172,SO,2000,0-14,85,f
45173,SO,2001,0-14,91,f
45174,SO,2002,0-14,112,f
45175,SO,2003,0-14,106,f
45176,SO,2004,0-14,129,f
45177,SO,2005,0-14,169,f
45178,SO,2006,0-14,170,f
45179,SO,2007,0-14,135,f
45180,SO,2008,0-14,138,f
45197,SR,1996,0-14,2,f
45198,SR,1997,0-14,0,f
45201,SR,2000,0-14,2,f
45202,SR,2001,0-14,0,f
45203,SR,2002,0-14,0,f
45204,SR,2003,0-14,1,f
45205,SR,2004,0-14,0,f
45206,SR,2005,0-14,0,f
45207,SR,2006,0-14,2,f
45225,ST,2000,0-14,3,f
45226,ST,2001,0-14,1,f
45227,ST,2002,0-14,0,f
45228,ST,2003,0-14,0,f
45229,ST,2004,0-14,1,f
45230,ST,2005,0-14,1,f
45231,ST,2006,0-14,1,f
45232,ST,2007,0-14,0,f
45233,ST,2008,0-14,2,f
45250,SV,1996,0-14,102,f
45251,SV,1997,0-14,17,f
45252,SV,1998,0-14,21,f
45253,SV,1999,0-14,20,f
45254,SV,2000,0-14,28,f
45255,SV,2001,0-14,22,f
45256,SV,2002,0-14,6,f
45257,SV,2003,0-14,7,f
45258,SV,2004,0-14,15,f
45259,SV,2005,0-14,6,f
45260,SV,2006,0-14,7,f
45261,SV,2007,0-14,4,f
45262,SV,2008,0-14,8,f
45277,SY,1995,0-14,22,f
45278,SY,1996,0-14,12,f
45279,SY,1997,0-14,23,f
45280,SY,1998,0-14,20,f
45282,SY,2000,0-14,23,f
45283,SY,2001,0-14,26,f
45284,SY,2002,0-14,23,f
45285,SY,2003,0-14,26,f
45286,SY,2004,0-14,20,f
45287,SY,2005,0-14,27,f
45288,SY,2006,0-14,18,f
45289,SY,2007,0-14,14,f
45290,SY,2008,0-14,30,f
45299,SZ,1995,0-14,5,f
45300,SZ,1996,0-14,64,f
45304,SZ,2000,0-14,10,f
45305,SZ,2001,0-14,22,f
45306,SZ,2002,0-14,9,f
45307,SZ,2003,0-14,14,f
45308,SZ,2004,0-14,17,f
45309,SZ,2005,0-14,14,f
45310,SZ,2006,0-14,35,f
45312,SZ,2008,0-14,39,f
45330,TC,2003,0-14,0,f
45332,TC,2006,0-14,0,f
45354,TD,1999,0-14,13,f
45355,TD,2002,0-14,18,f
45356,TD,2003,0-14,112,f
45357,TD,2004,0-14,41,f
45358,TD,2005,0-14,28,f
45361,TD,2008,0-14,78,f
45377,TG,1995,0-14,9,f
45378,TG,1996,0-14,12,f
45380,TG,1998,0-14,15,f
45381,TG,1999,0-14,7,f
45382,TG,2000,0-14,13,f
45384,TG,2002,0-14,12,f
45385,TG,2003,0-14,15,f
45386,TG,2004,0-14,12,f
45387,TG,2005,0-14,23,f
45388,TG,2006,0-14,29,f
45389,TG,2007,0-14,17,f
45390,TG,2008,0-14,29,f
45406,TH,1995,0-14,52,f
45407,TH,1996,0-14,50,f
45408,TH,1997,0-14,38,f
45409,TH,1998,0-14,17,f
45410,TH,1999,0-14,30,f
45411,TH,2000,0-14,32,f
45412,TH,2001,0-14,58,f
45413,TH,2002,0-14,61,f
45414,TH,2003,0-14,49,f
45415,TH,2004,0-14,50,f
45416,TH,2005,0-14,57,f
45417,TH,2006,0-14,65,f
45418,TH,2007,0-14,50,f
45419,TH,2008,0-14,77,f
45436,TJ,1996,0-14,5,f
45437,TJ,1997,0-14,7,f
45438,TJ,1998,0-14,2,f
45441,TJ,2001,0-14,0,f
45442,TJ,2002,0-14,6,f
45444,TJ,2004,0-14,11,f
45445,TJ,2005,0-14,26,f
45447,TJ,2007,0-14,21,f
45448,TJ,2008,0-14,25,f
45473,TK,2007,0-14,0,f
45476,TL,2002,0-14,20,f
45477,TL,2003,0-14,13,f
45478,TL,2004,0-14,19,f
45479,TL,2005,0-14,8,f
45480,TL,2006,0-14,8,f
45481,TL,2007,0-14,10,f
45482,TL,2008,0-14,4,f
45497,TM,1995,0-14,2,f
45498,TM,1996,0-14,2,f
45499,TM,1997,0-14,0,f
45500,TM,1998,0-14,2,f
45501,TM,1999,0-14,2,f
45502,TM,2000,0-14,19,f
45503,TM,2001,0-14,3,f
45504,TM,2002,0-14,3,f
45505,TM,2003,0-14,5,f
45506,TM,2004,0-14,2,f
45507,TM,2005,0-14,3,f
45508,TM,2006,0-14,5,f
45509,TM,2007,0-14,6,f
45510,TM,2008,0-14,4,f
45529,TN,1998,0-14,12,f
45530,TN,1999,0-14,15,f
45531,TN,2000,0-14,7,f
45532,TN,2001,0-14,9,f
45533,TN,2002,0-14,6,f
45534,TN,2003,0-14,7,f
45535,TN,2004,0-14,7,f
45536,TN,2005,0-14,7,f
45537,TN,2006,0-14,3,f
45538,TN,2007,0-14,11,f
45539,TN,2008,0-14,7,f
45555,TO,1995,0-14,0,f
45556,TO,1996,0-14,0,f
45557,TO,1997,0-14,0,f
45558,TO,1998,0-14,1,f
45559,TO,1999,0-14,0,f
45561,TO,2001,0-14,0,f
45563,TO,2003,0-14,0,f
45565,TO,2005,0-14,0,f
45566,TO,2006,0-14,0,f
45567,TO,2007,0-14,0,f
45568,TO,2008,0-14,0,f
45591,TR,2004,0-14,2,f
45592,TR,2005,0-14,50,f
45593,TR,2006,0-14,56,f
45594,TR,2007,0-14,63,f
45595,TR,2008,0-14,57,f
45611,TT,1995,0-14,0,f
45612,TT,1996,0-14,0,f
45614,TT,1998,0-14,1,f
45615,TT,1999,0-14,0,f
45616,TT,2000,0-14,0,f
45617,TT,2001,0-14,5,f
45618,TT,2002,0-14,0,f
45619,TT,2003,0-14,1,f
45620,TT,2004,0-14,2,f
45621,TT,2005,0-14,0,f
45622,TT,2006,0-14,1,f
45623,TT,2007,0-14,0,f
45624,TT,2008,0-14,1,f
45640,TV,1995,0-14,0,f
45642,TV,1998,0-14,6,f
45647,TV,2003,0-14,0,f
45650,TV,2006,0-14,0,f
45651,TV,2007,0-14,2,f
45652,TV,2008,0-14,0,f
45668,TZ,1995,0-14,201,f
45669,TZ,1996,0-14,221,f
45670,TZ,1997,0-14,251,f
45671,TZ,1998,0-14,240,f
45672,TZ,1999,0-14,230,f
45673,TZ,2000,0-14,257,f
45674,TZ,2001,0-14,312,f
45675,TZ,2002,0-14,241,f
45676,TZ,2003,0-14,244,f
45677,TZ,2004,0-14,280,f
45678,TZ,2005,0-14,271,f
45679,TZ,2006,0-14,293,f
45680,TZ,2007,0-14,238,f
45681,TZ,2008,0-14,233,f
45697,UA,1995,0-14,21,f
45698,UA,1996,0-14,13,f
45699,UA,1997,0-14,22,f
45700,UA,1998,0-14,36,f
45701,UA,1999,0-14,25,f
45702,UA,2000,0-14,41,f
45703,UA,2001,0-14,18,f
45705,UA,2003,0-14,29,f
45708,UA,2006,0-14,16,f
45709,UA,2007,0-14,7,f
45710,UA,2008,0-14,24,f
45724,UG,1995,0-14,402,f
45725,UG,1996,0-14,455,f
45726,UG,1997,0-14,375,f
45727,UG,1998,0-14,467,f
45728,UG,1999,0-14,434,f
45729,UG,2000,0-14,400,f
45730,UG,2001,0-14,334,f
45731,UG,2002,0-14,371,f
45732,UG,2003,0-14,377,f
45733,UG,2004,0-14,371,f
45734,UG,2005,0-14,371,f
45735,UG,2006,0-14,363,f
45736,UG,2007,0-14,343,f
45737,UG,2008,0-14,382,f
45753,US,1995,0-14,26,f
45754,US,1996,0-14,21,f
45755,US,1997,0-14,28,f
45756,US,1998,0-14,15,f
45757,US,1999,0-14,16,f
45758,US,2000,0-14,14,f
45759,US,2001,0-14,21,f
45760,US,2002,0-14,15,f
45761,US,2003,0-14,12,f
45762,US,2004,0-14,19,f
45763,US,2005,0-14,11,f
45764,US,2006,0-14,11,f
45765,US,2007,0-14,12,f
45766,US,2008,0-14,22,f
45782,UY,1995,0-14,2,f
45783,UY,1996,0-14,4,f
45784,UY,1997,0-14,5,f
45785,UY,1998,0-14,2,f
45786,UY,1999,0-14,4,f
45787,UY,2000,0-14,2,f
45788,UY,2001,0-14,4,f
45789,UY,2002,0-14,1,f
45790,UY,2003,0-14,1,f
45791,UY,2004,0-14,2,f
45792,UY,2005,0-14,1,f
45793,UY,2006,0-14,4,f
45794,UY,2007,0-14,1,f
45795,UY,2008,0-14,4,f
45811,UZ,1996,0-14,5,f
45813,UZ,1998,0-14,0,f
45814,UZ,1999,0-14,11,f
45815,UZ,2000,0-14,11,f
45816,UZ,2001,0-14,21,f
45817,UZ,2002,0-14,18,f
45818,UZ,2003,0-14,29,f
45819,UZ,2004,0-14,31,f
45820,UZ,2005,0-14,40,f
45821,UZ,2006,0-14,41,f
45822,UZ,2007,0-14,25,f
45823,UZ,2008,0-14,23,f
45844,VC,2000,0-14,1,f
45849,VC,2005,0-14,0,f
45851,VC,2007,0-14,0,f
45872,VE,1999,0-14,28,f
45875,VE,2002,0-14,42,f
45876,VE,2003,0-14,46,f
45877,VE,2004,0-14,36,f
45878,VE,2005,0-14,37,f
45879,VE,2006,0-14,42,f
45880,VE,2007,0-14,40,f
45881,VE,2008,0-14,25,f
45906,VI,1996,0-14,0,f
45926,VN,1996,0-14,91,f
45927,VN,1997,0-14,73,f
45928,VN,1998,0-14,60,f
45929,VN,1999,0-14,68,f
45930,VN,2000,0-14,64,f
45931,VN,2001,0-14,48,f
45932,VN,2002,0-14,68,f
45933,VN,2003,0-14,66,f
45934,VN,2004,0-14,66,f
45935,VN,2005,0-14,47,f
45936,VN,2006,0-14,62,f
45937,VN,2007,0-14,59,f
45938,VN,2008,0-14,48,f
45954,VU,1995,0-14,0,f
45955,VU,1996,0-14,2,f
45957,VU,1998,0-14,2,f
45958,VU,1999,0-14,0,f
45959,VU,2000,0-14,5,f
45960,VU,2001,0-14,1,f
45961,VU,2002,0-14,0,f
45962,VU,2003,0-14,0,f
45963,VU,2004,0-14,3,f
45964,VU,2005,0-14,0,f
45965,VU,2006,0-14,2,f
45966,VU,2007,0-14,1,f
45982,WF,1996,0-14,0,f
45983,WF,1997,0-14,0,f
45986,WF,2003,0-14,0,f
45990,WF,2007,0-14,0,f
46007,WS,1995,0-14,1,f
46008,WS,1996,0-14,0,f
46009,WS,1997,0-14,0,f
46010,WS,1998,0-14,0,f
46011,WS,1999,0-14,0,f
46012,WS,2000,0-14,0,f
46013,WS,2001,0-14,0,f
46014,WS,2002,0-14,1,f
46017,WS,2005,0-14,0,f
46020,WS,2008,0-14,0,f
46028,YE,1995,0-14,83,f
46029,YE,1996,0-14,14,f
46030,YE,1997,0-14,196,f
46031,YE,1998,0-14,115,f
46032,YE,1999,0-14,111,f
46033,YE,2000,0-14,161,f
46034,YE,2001,0-14,154,f
46035,YE,2002,0-14,163,f
46036,YE,2003,0-14,74,f
46037,YE,2004,0-14,72,f
46038,YE,2005,0-14,44,f
46039,YE,2006,0-14,55,f
46040,YE,2007,0-14,50,f
46041,YE,2008,0-14,57,f
46057,YU,1995,0-14,11,f
46058,YU,1996,0-14,57,f
46059,YU,1997,0-14,30,f
46063,YU,2001,0-14,5,f
46064,YU,2002,0-14,9,f
46065,YU,2003,0-14,1,f
46066,YU,2004,0-14,3,f
46086,ZA,1999,0-14,75,f
46087,ZA,2000,0-14,122,f
46088,ZA,2001,0-14,275,f
46089,ZA,2002,0-14,3261,f
46090,ZA,2003,0-14,2341,f
46091,ZA,2004,0-14,2810,f
46092,ZA,2005,0-14,2561,f
46093,ZA,2006,0-14,2579,f
46094,ZA,2007,0-14,2511,f
46095,ZA,2008,0-14,2360,f
46111,ZM,1995,0-14,129,f
46114,ZM,2000,0-14,150,f
46116,ZM,2002,0-14,1099,f
46117,ZM,2003,0-14,292,f
46118,ZM,2004,0-14,247,f
46119,ZM,2005,0-14,168,f
46120,ZM,2006,0-14,224,f
46121,ZM,2007,0-14,195,f
46122,ZM,2008,0-14,165,f
46145,ZW,2002,0-14,222,f
46146,ZW,2003,0-14,180,f
46147,ZW,2004,0-14,225,f
46148,ZW,2005,0-14,269,f
46149,ZW,2006,0-14,237,f
46150,ZW,2007,0-14,185,f
46151,ZW,2008,0-14,145,f
46158,AD,1996,15-24,1,f
46159,AD,1997,15-24,1,f
46161,AD,1999,15-24,0,f
46164,AD,2002,15-24,1,f
46165,AD,2003,15-24,1,f
46166,AD,2004,15-24,0,f
46167,AD,2005,15-24,1,f
46168,AD,2006,15-24,0,f
46170,AD,2008,15-24,0,f
46187,AE,1999,15-24,11,f
46188,AE,2000,15-24,16,f
46190,AE,2002,15-24,3,f
46191,AE,2003,15-24,9,f
46192,AE,2004,15-24,6,f
46194,AE,2006,15-24,6,f
46195,AE,2007,15-24,8,f
46196,AE,2008,15-24,10,f
46209,AF,1997,15-24,38,f
46210,AF,1998,15-24,350,f
46211,AF,1999,15-24,139,f
46212,AF,2000,15-24,414,f
46213,AF,2001,15-24,799,f
46214,AF,2002,15-24,1119,f
46215,AF,2003,15-24,1152,f
46216,AF,2004,15-24,1360,f
46217,AF,2005,15-24,1651,f
46218,AF,2006,15-24,2139,f
46219,AF,2007,15-24,2224,f
46220,AF,2008,15-24,2094,f
46235,AG,1996,15-24,0,f
46239,AG,2000,15-24,1,f
46240,AG,2001,15-24,1,f
46241,AG,2002,15-24,0,f
46242,AG,2003,15-24,0,f
46244,AG,2005,15-24,2,f
46246,AG,2007,15-24,0,f
46266,AI,2004,15-24,0,f
46283,AL,1995,15-24,1,f
46285,AL,1997,15-24,16,f
46286,AL,1998,15-24,19,f
46287,AL,1999,15-24,5,f
46288,AL,2000,15-24,11,f
46289,AL,2001,15-24,12,f
46290,AL,2002,15-24,20,f
46291,AL,2003,15-24,13,f
46292,AL,2004,15-24,12,f
46293,AL,2005,15-24,3,f
46294,AL,2006,15-24,12,f
46295,AL,2007,15-24,13,f
46296,AL,2008,15-24,20,f
46312,AM,1995,15-24,1,f
46313,AM,1996,15-24,9,f
46314,AM,1997,15-24,16,f
46315,AM,1998,15-24,21,f
46316,AM,1999,15-24,22,f
46317,AM,2000,15-24,24,f
46318,AM,2001,15-24,40,f
46319,AM,2002,15-24,16,f
46320,AM,2003,15-24,29,f
46321,AM,2004,15-24,24,f
46322,AM,2005,15-24,27,f
46323,AM,2006,15-24,28,f
46324,AM,2007,15-24,31,f
46325,AM,2008,15-24,44,f
46326,AN,1996,15-24,0,f
46327,AN,1997,15-24,0,f
46328,AN,1998,15-24,1,f
46329,AN,1999,15-24,1,f
46330,AN,2000,15-24,0,f
46331,AN,2001,15-24,0,f
46332,AN,2002,15-24,1,f
46333,AN,2003,15-24,0,f
46334,AN,2004,15-24,0,f
46336,AN,2006,15-24,0,f
46354,AO,1995,15-24,707,f
46355,AO,1996,15-24,1066,f
46356,AO,1997,15-24,1165,f
46357,AO,1998,15-24,1084,f
46358,AO,1999,15-24,1197,f
46359,AO,2000,15-24,1142,f
46360,AO,2001,15-24,993,f
46361,AO,2002,15-24,2610,f
46362,AO,2003,15-24,3078,f
46363,AO,2004,15-24,3198,f
46364,AO,2005,15-24,2926,f
46365,AO,2006,15-24,2851,f
46366,AO,2007,15-24,2943,f
46367,AO,2008,15-24,3199,f
46384,AR,1996,15-24,643,f
46385,AR,1997,15-24,566,f
46386,AR,1998,15-24,558,f
46387,AR,1999,15-24,502,f
46388,AR,2000,15-24,544,f
46389,AR,2001,15-24,674,f
46390,AR,2002,15-24,622,f
46391,AR,2003,15-24,516,f
46392,AR,2004,15-24,519,f
46393,AR,2005,15-24,530,f
46394,AR,2006,15-24,438,f
46395,AR,2007,15-24,558,f
46396,AR,2008,15-24,536,f
46414,AS,1997,15-24,0,f
46441,AT,1995,15-24,22,f
46443,AT,1997,15-24,41,f
46445,AT,1999,15-24,10,f
46446,AT,2000,15-24,11,f
46447,AT,2001,15-24,8,f
46448,AT,2002,15-24,8,f
46449,AT,2003,15-24,10,f
46450,AT,2004,15-24,12,f
46451,AT,2005,15-24,13,f
46452,AT,2006,15-24,12,f
46453,AT,2007,15-24,10,f
46472,AU,1997,15-24,10,f
46473,AU,1998,15-24,19,f
46474,AU,1999,15-24,10,f
46475,AU,2000,15-24,15,f
46476,AU,2001,15-24,21,f
46477,AU,2002,15-24,15,f
46478,AU,2003,15-24,9,f
46479,AU,2004,15-24,6,f
46480,AU,2005,15-24,18,f
46481,AU,2006,15-24,18,f
46482,AU,2007,15-24,26,f
46483,AU,2008,15-24,27,f
46499,AZ,1995,15-24,5,f
46500,AZ,1996,15-24,20,f
46501,AZ,1997,15-24,42,f
46502,AZ,1998,15-24,7,f
46503,AZ,1999,15-24,4,f
46504,AZ,2000,15-24,3,f
46506,AZ,2002,15-24,48,f
46507,AZ,2003,15-24,72,f
46508,AZ,2004,15-24,120,f
46509,AZ,2005,15-24,64,f
46510,AZ,2006,15-24,51,f
46528,BA,1995,15-24,40,f
46529,BA,1996,15-24,23,f
46530,BA,1997,15-24,53,f
46531,BA,1998,15-24,37,f
46532,BA,1999,15-24,49,f
46533,BA,2000,15-24,30,f
46534,BA,2001,15-24,45,f
46535,BA,2002,15-24,22,f
46536,BA,2003,15-24,27,f
46537,BA,2004,15-24,45,f
46538,BA,2005,15-24,35,f
46539,BA,2006,15-24,41,f
46540,BA,2007,15-24,0,f
46541,BA,2008,15-24,26,f
46560,BB,2000,15-24,0,f
46561,BB,2001,15-24,0,f
46566,BB,2006,15-24,1,f
46567,BB,2007,15-24,0,f
46568,BB,2008,15-24,0,f
46584,BD,1995,15-24,309,f
46585,BD,1996,15-24,434,f
46586,BD,1997,15-24,1883,f
46587,BD,1998,15-24,2663,f
46588,BD,1999,15-24,2753,f
46589,BD,2000,15-24,3029,f
46590,BD,2001,15-24,3392,f
46591,BD,2002,15-24,3104,f
46592,BD,2003,15-24,4298,f
46593,BD,2004,15-24,5081,f
